C:\Documents and Settings\Wintest\Desktop\runs\190813 Anna\15% v20_20%.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","V        ","%        ",
     182,         6.0454,      6.0454,   0.147,     0.03,     0.00,     0.00,     0.00,      0.229,       0.03,
     183,         6.0788,      6.0788,   0.150,     0.05,     0.00,     0.00,     0.00,      0.229,      -0.01,
     184,         6.1122,      6.1122,   0.149,     0.02,     0.00,     0.00,     0.00,      0.224,      -0.05,
     185,         6.1456,      6.1456,   0.146,     0.05,     0.00,     0.00,     0.00,      0.214,      -0.10,
     186,         6.1790,      6.1790,   0.139,    -0.01,     0.00,     0.00,     0.00,      0.200,      -0.13,
     187,         6.2124,      6.2124,   0.127,     0.02,     0.00,     0.00,     0.00,      0.182,      -0.14,
     188,         6.2458,      6.2458,   0.111,     0.01,     0.00,     0.00,     0.00,      0.161,      -0.09,
     189,         6.2792,      6.2792,   0.099,     0.00,     0.00,     0.00,     0.00,      0.139,      -0.13,
     190,         6.3126,      6.3126,   0.080,     0.01,     0.00,     0.00,     0.00,      0.115,      -0.07,
     191,         6.3460,      6.3460,   0.066,    -0.01,     0.00,     0.00,     0.00,      0.092,      -0.09,
     192,         6.3794,      6.3794,   0.052,     0.00,     0.00,     0.00,     0.00,      0.069,      -0.11,
     193,         6.4128,      6.4128,   0.037,    -0.01,     0.00,     0.00,     0.00,      0.049,      -0.08,
     194,         6.4462,      6.4462,   0.024,    -0.02,     0.00,     0.00,     0.00,      0.031,      -0.06,
     195,         6.4796,      6.4796,   0.015,    -0.03,     0.00,     0.00,     0.00,      0.017,      -0.06,
     196,         6.5130,      6.5130,   0.008,    -0.03,     0.00,     0.00,     0.00,      0.008,      -0.04,
     197,         6.5464,      6.5464,   0.002,    -0.03,     0.00,     0.00,     0.00,      0.003,      -0.00,
     198,         6.5798,      6.5798,   0.001,    -0.03,     0.00,     0.00,     0.00,      0.003,       0.01,
     199,         6.6132,      6.6132,   0.002,    -0.02,     0.00,     0.00,     0.00,      0.008,       0.05,
     200,         6.6466,      6.6466,   0.005,    -0.05,     0.00,     0.00,     0.00,      0.018,       0.11,
     201,         6.6800,      6.6800,   0.012,    -0.03,     0.00,     0.00,     0.00,      0.032,       0.14,
     202,         6.7134,      6.7134,   0.026,    -0.03,     0.00,     0.00,     0.00,      0.050,       0.10,
     203,         6.7468,      6.7468,   0.039,    -0.01,     0.00,     0.00,     0.00,      0.071,       0.10,
     204,         6.7802,      6.7802,   0.055,    -0.01,     0.00,     0.00,     0.00,      0.094,       0.09,
     205,         6.8136,      6.8136,   0.070,     0.03,     0.00,     0.00,     0.00,      0.117,       0.10,
     206,         6.8470,      6.8470,   0.085,     0.01,     0.00,     0.00,     0.00,      0.141,       0.09,
     207,         6.8804,      6.8804,   0.100,     0.01,     0.00,     0.00,     0.00,      0.163,       0.10,
     208,         6.9138,      6.9138,   0.114,     0.05,     0.00,     0.00,     0.00,      0.184,       0.08,
     209,         6.9472,      6.9472,   0.126,     0.05,     0.00,     0.00,     0.00,      0.201,       0.08,
     210,         6.9806,      6.9806,   0.137,     0.02,     0.00,     0.00,     0.00,      0.215,       0.04,
     211,         7.0140,      7.0140,   0.143,     0.03,     0.00,     0.00,     0.00,      0.224,       0.04,
     212,         7.0474,      7.0474,   0.148,     0.03,     0.00,     0.00,     0.00,      0.229,       0.02,
     213,         7.0808,      7.0808,   0.149,     0.01,     0.00,     0.00,     0.00,      0.229,      -0.01,
     214,         7.1142,      7.1142,   0.148,     0.06,     0.00,     0.00,     0.00,      0.223,      -0.05,
     215,         7.1476,      7.1476,   0.144,     0.05,     0.00,     0.00,     0.00,      0.213,      -0.09,
     216,         7.1810,      7.1810,   0.139,     0.03,     0.00,     0.00,     0.00,      0.199,      -0.15,
     217,         7.2144,      7.2144,   0.124,     0.02,     0.00,     0.00,     0.00,      0.181,      -0.11,
     218,         7.2478,      7.2478,   0.110,     0.01,     0.00,     0.00,     0.00,      0.160,      -0.09,
     219,         7.2812,      7.2812,   0.096,     0.01,     0.00,     0.00,     0.00,      0.137,      -0.10,
     220,         7.3146,      7.3146,   0.081,     0.01,     0.00,     0.00,     0.00,      0.114,      -0.10,
     221,         7.3480,      7.3480,   0.065,    -0.01,     0.00,     0.00,     0.00,      0.090,      -0.10,
     222,         7.3814,      7.3814,   0.050,    -0.01,     0.00,     0.00,     0.00,      0.067,      -0.09,
     223,         7.4148,      7.4148,   0.035,    -0.01,     0.00,     0.00,     0.00,      0.047,      -0.07,
     224,         7.4482,      7.4482,   0.024,    -0.02,     0.00,     0.00,     0.00,      0.030,      -0.08,
     225,         7.4816,      7.4816,   0.013,    -0.03,     0.00,     0.00,     0.00,      0.016,      -0.05,
     226,         7.5150,      7.5150,   0.006,    -0.03,     0.00,     0.00,     0.00,      0.007,      -0.02,
     227,         7.5484,      7.5484,   0.001,    -0.01,     0.00,     0.00,     0.00,      0.002,       0.01,
     228,         7.5818,      7.5818,   0.001,    -0.03,     0.00,     0.00,     0.00,      0.003,       0.02,
     229,         7.6152,      7.6152,   0.002,    -0.03,     0.00,     0.00,     0.00,      0.009,       0.05,
     230,         7.6486,      7.6486,   0.005,     0.00,     0.00,     0.00,     0.00,      0.019,       0.11,
     231,         7.6820,      7.6820,   0.013,    -0.03,     0.00,     0.00,     0.00,      0.033,       0.13,
     232,         7.7154,      7.7154,   0.026,    -0.01,     0.00,     0.00,     0.00,      0.051,       0.12,
     233,         7.7488,      7.7488,   0.042,     0.00,     0.00,     0.00,     0.00,      0.072,       0.08,
     234,         7.7822,      7.7822,   0.056,    -0.03,     0.00,     0.00,     0.00,      0.095,       0.09,
     235,         7.8156,      7.8156,   0.071,     0.00,     0.00,     0.00,     0.00,      0.118,       0.10,
     236,         7.8490,      7.8490,   0.086,     0.02,     0.00,     0.00,     0.00,      0.142,       0.10,
     237,         7.8824,      7.8824,   0.101,     0.01,     0.00,     0.00,     0.00,      0.164,       0.09,
     238,         7.9158,      7.9158,   0.115,     0.01,     0.00,     0.00,     0.00,      0.185,       0.08,
     239,         7.9492,      7.9492,   0.127,     0.03,     0.00,     0.00,     0.00,      0.202,       0.06,
     240,         7.9826,      7.9826,   0.137,     0.03,     0.00,     0.00,     0.00,      0.216,       0.05,
     241,         8.0160,      8.0160,   0.144,     0.01,     0.00,     0.00,     0.00,      0.225,       0.03,
     242,         8.0494,      8.0494,   0.148,     0.05,     0.00,     0.00,     0.00,      0.229,       0.02,
     243,         8.0828,      8.0828,   0.150,     0.03,     0.00,     0.00,     0.00,      0.228,      -0.02,
     244,         8.1162,      8.1162,   0.149,     0.05,     0.00,     0.00,     0.00,      0.223,      -0.06,
     245,         8.1496,      8.1496,   0.145,     0.03,     0.00,     0.00,     0.00,      0.212,      -0.11,
     246,         8.1830,      8.1830,   0.137,     0.01,     0.00,     0.00,     0.00,      0.198,      -0.13,
     247,         8.2164,      8.2164,   0.125,     0.00,     0.00,     0.00,     0.00,      0.179,      -0.13,
     248,         8.2498,      8.2498,   0.110,     0.00,     0.00,     0.00,     0.00,      0.158,      -0.10,
     249,         8.2832,      8.2832,   0.093,     0.01,     0.00,     0.00,     0.00,      0.136,      -0.08,
     250,         8.3166,      8.3166,   0.079,     0.01,     0.00,     0.00,     0.00,      0.112,      -0.10,
     251,         8.3500,      8.3500,   0.064,    -0.01,     0.00,     0.00,     0.00,      0.089,      -0.10,
     252,         8.3834,      8.3834,   0.050,    -0.02,     0.00,     0.00,     0.00,      0.066,      -0.12,
     253,         8.4168,      8.4168,   0.034,    -0.01,     0.00,     0.00,     0.00,      0.046,      -0.06,
     254,         8.4502,      8.4502,   0.024,    -0.02,     0.00,     0.00,     0.00,      0.029,      -0.08,
     255,         8.4836,      8.4836,   0.013,    -0.03,     0.00,     0.00,     0.00,      0.015,      -0.05,
     256,         8.5170,      8.5170,   0.005,    -0.01,     0.00,     0.00,     0.00,      0.006,      -0.01,
     257,         8.5504,      8.5504,   0.002,    -0.02,     0.00,     0.00,     0.00,      0.002,      -0.01,
